id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,url_user
ChZDSUhNMG9nS0VJQ0FnTUN3LUpUZFBnEAE,,2 weeks ago,2025-03-31 01:18:33.608357,4.0,Priscila ML,8,https://www.google.com/maps/contrib/110298829738975102637/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTUN3eU1YWmN3EAE,"Awesome boned tail. Squid, beans, all delicious. Good atmosphere. Attentive staff. We will repeat for sure.",2 weeks ago,2025-03-31 01:18:33.610351,5.0,Carlos Cuellar,4,https://www.google.com/maps/contrib/104881185964514612167/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTURRMzdMbzdRRRAB,"A different option in Vitoria. Everything we ordered was good and the service was impeccable. The furniture is a little dull and the upholstery of the chairs needs to be changed, which makes you not completely comfortable.",2 weeks ago,2025-03-31 01:18:33.611347,4.0,Sandra Zafra,551,https://www.google.com/maps/contrib/112967532596840473372/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTURRZ3F5RjBRRRAB,,2 weeks ago,2025-03-31 01:18:33.613357,5.0,Garazi Zuñiga,10,https://www.google.com/maps/contrib/118381505612341221567/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTUNRMHJQUUpBEAE,"Very good experience overall. We had not reserved and they gave us a table without problems. Excellent attention from everyone and very friendly. They recommended us to try the typical dessert, Goxua, what a delight! Highly recommended",3 weeks ago,2025-03-31 01:18:33.614348,5.0,Elena FG,0,https://www.google.com/maps/contrib/102008182755566706728/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTUNRbkl1emx3RRAB,,4 weeks ago,2025-03-31 01:18:33.617349,5.0,paloma corral,2,https://www.google.com/maps/contrib/114526570007544741870/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTUNRN052QXVnRRAB,,4 weeks ago,2025-03-31 01:18:33.628515,5.0,José Angel Del Val Benito,229,https://www.google.com/maps/contrib/110058690851548738849/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTUNRdE9DU3p3RRAB,"The treatment received from the waiter was horrible. We were 8 people but in the end one got sick and didn't come, because he reproached us for that, we arrived 15 minutes later than the time and he reproached us for it, we ordered a part of 7 menus and more things off the menu and he also thought it was bad...",4 weeks ago,2025-03-31 01:18:33.636587,1.0,Amaya gonzalez de uriarte,25,https://www.google.com/maps/contrib/112214776412416145261/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTUNRNk5LRTRBRRAB,,4 weeks ago,2025-03-31 01:18:33.638349,5.0,Marcos Anubla,7,https://www.google.com/maps/contrib/105916881946085054888/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTURnbWNHYnRnRRAB,I was having some beers with my wife and some friends and I thought it was great. It's deceiving at first but then it's very good. The waiter who served us was friendly and very attentive. Keep it up guys,a month ago,2025-03-31 01:18:33.643923,5.0,Roberto Uralde,19,https://www.google.com/maps/contrib/105942467927321865085/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTURnaHJ2UW93RRAB,,a month ago,2025-03-31 01:18:38.316506,4.0,Jose Antonio Diaz Guerreiro,2,https://www.google.com/maps/contrib/100088110830102945054/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTURneExtU1hREAE,"I put two stars because there were a couple of details that I didn't like. One of them was about the bread...I don't think it's bad that they charge for it but without me asking, they gave me a second basket of bread and charged me for it...I think it's an ugly gesture...just like water...they charge you for a bottle that is reusable and which comes open...who tells me it's not tap water? I have been many times but these two details have made me change my mind about the establishment",a month ago,2025-03-31 01:18:38.316506,2.0,Irene López,13,https://www.google.com/maps/contrib/108195132373265023993/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTUNnMVBfQWN3EAE,,a month ago,2025-03-31 01:18:38.316506,5.0,Marti Elias vinyals,12,https://www.google.com/maps/contrib/111587317921655886381/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTUNncU12bWRREAE,"Everything was very good. The place was clean and the staff was polite and interested so that you had the best experience. We didn't know what to ask for and they have helped us a lot. On the other hand, the food is very good. We ordered some delicious and complete skewers, some crumbled oxtail burgers that, even though I didn't like oxtail, I loved and the ribeye croquettes... The best of all. Highly recommended.",a month ago,2025-03-31 01:18:38.316506,5.0,Ana J,0,https://www.google.com/maps/contrib/118087112683948574349/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTURBMGVhSFd3EAE,,a month ago,2025-03-31 01:18:38.316506,5.0,Oier Guridi,0,https://www.google.com/maps/contrib/107940249650842576231/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTURBcVBUVzVnRRAB,,a month ago,2025-03-31 01:18:38.329314,5.0,Emma Del olmo,22,https://www.google.com/maps/contrib/105660883287843278229/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnTUNBOGNlaW5nRRAB,Good value for money. Affordable and varied menu. Some special dishes have a supplement.,a month ago,2025-03-31 01:18:38.329314,5.0,jesus saorin,61,https://www.google.com/maps/contrib/106410491970222838856/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTUNBMFltZU93EAE,,a month ago,2025-03-31 01:18:38.332083,3.0,Xörgiñ Croack,8,https://www.google.com/maps/contrib/107647757727446243790/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnTUNBanFtMElnEAE,Nice place for snacks and very attentive service...we will return,a month ago,2025-03-31 01:18:38.334098,4.0,Mari Jose Gaspar,0,https://www.google.com/maps/contrib/110272151450323332030/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURfdk5yLU5BEAE,,2 months ago,2025-03-31 01:18:38.336114,4.0,Rui Fernandes,20,https://www.google.com/maps/contrib/112858272819271895000/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNfdnNpN1BBEAE,"Good place, the food is very good and the menu is excellent.",2 months ago,2025-03-31 01:18:43.442200,4.0,Jorge Guerrero,132,https://www.google.com/maps/contrib/117173249915796730088/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURmN3FyNmJ3EAE,,2 months ago,2025-03-31 01:18:43.457243,5.0,GAUEDER GAUEDER,261,https://www.google.com/maps/contrib/117505577473801798353/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURmd3R5THlRRRAB,,2 months ago,2025-03-31 01:18:43.458266,4.0,Eduardo Iglesias,33,https://www.google.com/maps/contrib/107906618246366113672/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURmN09YVTJRRRAB,"The food was very good, but the service was even better. Highly recommended.",2 months ago,2025-03-31 01:18:43.458266,5.0,Jose Marcos Ibañez Jimenez,29,https://www.google.com/maps/contrib/109849305958923281574/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNmMmJDdlh3EAE,,3 months ago,2025-03-31 01:18:43.458266,1.0,Pamela Rojas,22,https://www.google.com/maps/contrib/117536118302904787406/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNmeWFUS2pnRRAB,We ate the menu and the truth is that the quality/price ratio is incredible! The ribeye croquettes are a spectacle! Very good option to eat in Vitoria,3 months ago,2025-03-31 01:18:43.458266,5.0,Laura Aduriz Sarabia,37,https://www.google.com/maps/contrib/114388704619283590857/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNmcHBlWGN3EAE,"We had a great meal and were treated wonderfully by Awais, very good service.",3 months ago,2025-03-31 01:18:43.463973,5.0,Edurne Asca,0,https://www.google.com/maps/contrib/112483012310714591645/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR2OWZUXzZBRRAB,"Great menu, good service and atmosphere. to repeat",3 months ago,2025-03-31 01:18:43.466005,5.0,Marian Perez de Heredia,81,https://www.google.com/maps/contrib/112718271693162456274/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR2MllEakVREAE,A great place for dinner and snacks. Tiny but flirty.,3 months ago,2025-03-31 01:18:43.466005,5.0,Mikel Pelegrin,214,https://www.google.com/maps/contrib/112358326482849711408/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR2bHNEOHJ3RRAB,Excellent place. Good atmosphere and the guys with excellent attention.  We will return.,3 months ago,2025-03-31 01:18:43.466005,5.0,Raul Olivan,111,https://www.google.com/maps/contrib/109403183093130883858/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN2emZIbVlBEAE,,3 months ago,2025-03-31 01:18:48.952191,5.0,pili Ruiz,0,https://www.google.com/maps/contrib/118285499407442685711/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQweXN5YWdRRRAB,Very cozy place with delicious food and very good service. It is a place to return and to recommend,3 months ago,2025-03-31 01:18:48.952191,5.0,Txema Kilates,3,https://www.google.com/maps/contrib/105946510732738921106/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN2NkxfaXN3RRAB,"Today we were at lunchtime with a reserved table, 3 people, when ordering we ordered to share and the waiter who served us scolded us that it was not enough, and that that was not why he had reserved the table for us.  We did not like his treatment at all. As ""requiring"" a minimum expense per person... I think that people in restaurants are free to order whatever they want.  On the other hand, the food was very good. In that regard, no complaints, but given the situation before, I don't think I will return.",3 months ago,2025-03-31 01:18:48.952191,2.0,Diego,2,https://www.google.com/maps/contrib/109490640349194287227/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURQbWVDN0NREAE,Good place to have a snack and snack.,3 months ago,2025-03-31 01:18:48.952191,5.0,Joseba Garcia de Salazar,"1,131",https://www.google.com/maps/contrib/110236012693066889117/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURQMnYyQ2V3EAE,Good menu with a reasonable price (21 euros) for the quality of the product and good service. Without a doubt recommended. We were left wanting to order a portion off the menu. Good food without frills in a lively atmosphere in Corre.,3 months ago,2025-03-31 01:18:48.960038,5.0,Carmen Herrero,37,https://www.google.com/maps/contrib/104049099868536797108/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURQcFBLdnZnRRAB,,4 months ago,2025-03-31 01:18:48.962082,5.0,Roberto Martinez,4,https://www.google.com/maps/contrib/115935846650057624603/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNQb1lhR0RnEAE,,4 months ago,2025-03-31 01:18:48.963822,5.0,Gorka Barayazarra,10,https://www.google.com/maps/contrib/106687302946344615300/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNQdm9IOTB3RRAB,,4 months ago,2025-03-31 01:18:48.963822,5.0,Esperanza Pilar Carral Fernandez,8,https://www.google.com/maps/contrib/112424877360964976772/reviews?hl=en
ChRDSUhNMG9nS0VJQ0FnSUNQNHNWTRAB,,4 months ago,2025-03-31 01:18:48.967635,4.0,Sagui G.Senovilla,0,https://www.google.com/maps/contrib/116941006119202292985/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQzaDU2Zjh3RRAB,The staff is very friendly and the dishes are delicious.,4 months ago,2025-03-31 01:18:48.967635,5.0,J P,40,https://www.google.com/maps/contrib/113513217540606462049/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQzMmZpdzFnRRAB,"Very good, the menu is unbeatable and the service is very good",4 months ago,2025-03-31 01:18:54.552366,5.0,Ana Belen Etxeberria Oyarzabal,10,https://www.google.com/maps/contrib/109525237205363770629/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQzMktyYm5nRRAB,,4 months ago,2025-03-31 01:18:54.554114,5.0,Mikel VL,20,https://www.google.com/maps/contrib/116572290632116334175/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMzajVLLUh3EAE,"We arrived on a Saturday without a reservation and they treated us wonderfully. The food was very good, we ate huelva prawns, pointillitas, txipis... all very delicious! And great value for money, but above all highlight the attention of the waiter who served us… a 10!! Highly recommended.",4 months ago,2025-03-31 01:18:54.555110,5.0,Bego MB,14,https://www.google.com/maps/contrib/107682488126477619061/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMzdmREaGpRRRAB,"A perfect and ideal place for dinner, quiet and ideal",4 months ago,2025-03-31 01:18:54.557120,5.0,Patxi Velasco,118,https://www.google.com/maps/contrib/110320925070941062624/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMzM2RUekpnEAE,Everything we ate was very delicious. The people who attended us were very friendly. I recommend it.,4 months ago,2025-03-31 01:18:54.559460,5.0,Antonio,47,https://www.google.com/maps/contrib/116363187252399548479/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMzaE5ESDh3RRAB,Very good. They have a menu for €21.50 that is great value for money. That's if you reserve! The cheesecake is incredible. The waiter who served us very well.,4 months ago,2025-03-31 01:18:54.560460,5.0,Meritxell Salvadó,61,https://www.google.com/maps/contrib/117275121528161566024/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMzNEpteVRnEAE,"Very good food, the boy who served us was very friendly and careful. The cheesecake is next level, the best we have had in a long time.",4 months ago,2025-03-31 01:18:54.562458,4.0,Mireia Benito,13,https://www.google.com/maps/contrib/103523271498295689961/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNYMC1YR2FREAE,,5 months ago,2025-03-31 01:18:54.563457,5.0,Jonathan Lopez,11,https://www.google.com/maps/contrib/102133378692915020571/reviews?hl=en
