search_point_url,href,name
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Testo/data=!4m7!3m6!1s0x46b530a01a737495:0x6b2e07c7297fe29f!8m2!3d55.9259681!4d37.6057395!16s%2Fg%2F11b7f2k8w3!19sChIJlXRzGqAwtUYRn-J_KccHLms?authuser=0&hl=en&rclk=1,Testo
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Terrasa/data=!4m7!3m6!1s0x46b539e2b0e3dc0f:0xac38b1e68c3b6f7e!8m2!3d55.9022168!4d37.5671321!16s%2Fg%2F1hhwq1zl2!19sChIJD9zjsOI5tUYRfm87jOaxOKw?authuser=0&hl=en&rclk=1,Terrasa
"romantic restaurant/@55.922351,37.588675,15z","https://www.google.com/maps/place/Romantic,+Restaurant/data=!4m7!3m6!1s0x46b54bc92c3a5d6b:0xf5e2247ef393ad40!8m2!3d55.751422!4d37.565602!16s%2Fg%2F12hnqnr1m!19sChIJa106LMlLtUYRQK2T834k4vU?authuser=0&hl=en&rclk=1","Romantic, Restaurant"
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Alazanskaya+Dolina/data=!4m7!3m6!1s0x46b5374fad73500b:0xff3d261ca702f997!8m2!3d55.8976898!4d37.5914804!16s%2Fg%2F1tx1412_!19sChIJC1BzrU83tUYRl_kCpxwmPf8?authuser=0&hl=en&rclk=1,Alazanskaya Dolina
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Theory+Kitchen+%26+Bar/data=!4m7!3m6!1s0x46b539808bebe5d1:0x7240bc33860daffe!8m2!3d55.931418!4d37.5203241!16s%2Fg%2F11b7lmv46j!19sChIJ0eXri4A5tUYR_q8NhjO8QHI?authuser=0&hl=en&rclk=1,Theory Kitchen & Bar
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Fusion+Cafe/data=!4m7!3m6!1s0x46b537715bf28327:0xff78c7781c3dafac!8m2!3d55.8743529!4d37.5601014!16s%2Fg%2F12qgpqb25!19sChIJJ4PyW3E3tUYRrK89HHjHeP8?authuser=0&hl=en&rclk=1,Fusion Cafe
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Lido/data=!4m7!3m6!1s0x46b537377202a467:0xccf2614f652576ef!8m2!3d55.8886111!4d37.6038889!16s%2Fg%2F11cn6h2hqb!19sChIJZ6QCcjc3tUYR73YlZU9h8sw?authuser=0&hl=en&rclk=1,Lido
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Kaspiy+Klab/data=!4m7!3m6!1s0x46b539e0f3753bbf:0xa1a28f304c30e2e7!8m2!3d55.8959403!4d37.5563239!16s%2Fg%2F11cmsggqb1!19sChIJvzt18-A5tUYR5-IwTDCPoqE?authuser=0&hl=en&rclk=1,Kaspiy Klab
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/BESO+Rooftop+Restaurant/data=!4m7!3m6!1s0x14cab9235aa19e09:0xcd2cde408c40b0ac!8m2!3d41.009012!4d28.9594472!16s%2Fg%2F11vsd9s3x5!19sChIJCZ6hWiO5yhQRrLBAjEDeLM0?authuser=0&hl=en&rclk=1,BESO Rooftop Restaurant
"romantic restaurant/@55.922351,37.588675,15z","https://www.google.com/maps/place/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD+%D0%91%D0%B5%D0%BB%D0%BE%D0%B5+%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%BE+%D0%B2+%D0%91%D0%B8%D0%B1%D0%B8%D1%80%D0%B5%D0%B2%D0%BE+%7C+%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%BB%D0%B0%D0%BD%D1%87,+%D0%B1%D0%B0%D0%BD%D0%BA%D0%B5%D1%82%D0%BD%D1%8B%D0%B9+%D0%B7%D0%B0%D0%BB,+%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b5373468782c2d:0xe410554cbc93f9b5!8m2!3d55.8943975!4d37.6169503!16s%2Fg%2F11c31738p3!19sChIJLSx4aDQ3tUYRtfmTvExVEOQ?authuser=0&hl=en&rclk=1","Ресторан Белое золото в Бибирево | бизнес-ланч, банкетный зал, доставка"
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Akbash/data=!4m7!3m6!1s0x46b536d7f86fec1b:0x197f074396199a91!8m2!3d55.879126!4d37.6339467!16s%2Fg%2F1tfxwpwn!19sChIJG-xv-Nc2tUYRkZoZlkMHfxk?authuser=0&hl=en&rclk=1,Akbash
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Don+David/data=!4m7!3m6!1s0x46b549b7e591da99:0x272b5b6fe11a8b19!8m2!3d55.9645042!4d37.5217284!16s%2Fg%2F11xl66qkv!19sChIJmdqR5bdJtUYRGYsa4W9bKyc?authuser=0&hl=en&rclk=1,Don David
"romantic restaurant/@55.922351,37.588675,15z",https://www.google.com/maps/place/Divella+Bistro+Restaurant/data=!4m7!3m6!1s0x14cab9e1a405fee1:0xf3d6a4a861b3fcc5!8m2!3d41.006464!4d28.9807498!16s%2Fg%2F11j15jf6hn!19sChIJ4f4FpOG5yhQRxfyzYaik1vM?authuser=0&hl=en&rclk=1,Divella Bistro Restaurant
